Page,Column,OCR,Points
0,0,卷六,"[(221, 52), (267, 164)]"
0,1,曰卿卧一,"[(65, 58), (150, 365)]"
5,0,鴉十一章告子王,"[(358, 113), (394, 413)]"
5,1,告子曰,"[(310, 65), (351, 192)]"
5,2,性猶𢩽柳也,"[(265, 66), (304, 281)]"
5,3,義猶橋梞也,"[(219, 64), (259, 282)]"
5,4,以人性爲人義,"[(179, 71), (214, 330)]"
5,5,猶以𢩽柳爲橋椿,"[(130, 68), (170, 375)]"
5,6,孟子曰,"[(85, 63), (130, 194)]"
5,7,子能順𢩽柳之性,"[(44, 69), (81, 369)]"
7,0,而以爲橋乎,"[(355, 62), (395, 316)]"
7,1,將戎賊𢩽柳,"[(307, 58), (349, 282)]"
7,2,而役以爲橋椿也,"[(269, 64), (299, 362)]"
7,3,如將𦋦賊𢩽柳,"[(218, 60), (257, 316)]"
7,4,而以爲橋椿,"[(178, 63), (212, 272)]"
7,5,則亦將𦋦賊人,"[(129, 59), (169, 321)]"
7,6,以爲人義與,"[(84, 60), (123, 280)]"
7,7,率天下之人而禍仁義者,"[(42, 57), (78, 503)]"
9,0,必子之言夫,"[(353, 64), (390, 283)]"
9,1,告子曰,"[(308, 61), (351, 192)]"
9,2,性猫湍永也,"[(266, 63), (303, 276)]"
9,3,决諸東方則東流,"[(222, 65), (253, 363)]"
9,4,决諸西方則西流,"[(178, 65), (211, 366)]"
9,5,人性之無分於善不善也,"[(135, 68), (165, 497)]"
9,6,猶氷之無分於東西也,"[(88, 65), (121, 452)]"
9,7,孟子曰,"[(41, 60), (82, 191)]"
11,0,水信無分於東西,"[(353, 58), (390, 355)]"
11,1,無分於主丁乎,"[(309, 59), (346, 324)]"
11,2,人性之善也,"[(267, 62), (301, 270)]"
11,3,猶水之就下也,"[(217, 57), (259, 317)]"
11,4,人無有不善,"[(176, 60), (212, 272)]"
11,5,永無有不仁,"[(133, 60), (167, 274)]"
11,6,呐夫水博兒𨃴之,"[(85, 56), (125, 358)]"
11,7,可使過類,"[(39, 57), (82, 238)]"
13,0,激而行之,"[(348, 58), (395, 239)]"
13,1,呵使在山,"[(303, 60), (348, 234)]"
13,2,是𡸈水之性哉,"[(263, 61), (303, 326)]"
13,3,其势則然也,"[(218, 61), (259, 278)]"
13,4,人之可使爲不善,"[(175, 63), (215, 370)]"
13,5,其性亦猶是也,"[(128, 60), (169, 323)]"
13,6,告子曰,"[(87, 64), (122, 188)]"
13,7,生之謂性,"[(38, 60), (81, 235)]"
15,0,孟子曰,"[(351, 54), (393, 185)]"
15,1,生之調性也,"[(309, 58), (346, 270)]"
15,2,猶白之調白期,"[(260, 55), (300, 317)]"
15,3,曰然,"[(223, 62), (256, 140)]"
15,4,白羽之白也,"[(177, 60), (214, 272)]"
15,5,猶白雪之白,"[(127, 56), (172, 271)]"
15,6,白雪之白,"[(84, 56), (124, 227)]"
15,7,猶白玉之白欺,"[(43, 58), (79, 317)]"
17,0,曰然一,"[(355, 61), (394, 153)]"
17,1,然則犬之性猶半之悭,"[(310, 59), (352, 453)]"
17,2,半之性猶人之性歟,"[(263, 59), (306, 413)]"
17,3,告子曰,"[(222, 61), (262, 186)]"
17,4,食包性也,"[(174, 59), (221, 280)]"
17,5,仁凶也非外也,"[(126, 55), (175, 366)]"
17,6,義外一也非凶也,"[(84, 55), (129, 370)]"
17,7,孟子曰,"[(40, 57), (85, 188)]"
19,0,何以謂仁凶義外也,"[(356, 60), (389, 414)]"
19,1,曰彼長而我長之,"[(315, 64), (345, 355)]"
19,2,排育長於我也,"[(268, 60), (301, 315)]"
19,3,猶彼白而我白之,"[(221, 59), (257, 358)]"
19,4,從其白於外也,"[(177, 58), (214, 317)]"
19,5,故謂之外也,"[(134, 61), (167, 274)]"
19,6,曰異於白馬之自也,"[(91, 65), (120, 400)]"
19,7,無以異於白人一之白也,"[(47, 59), (77, 446)]"
21,0,不誠長馬之長也,"[(358, 62), (388, 357)]"
21,1,無以異於長人之長寧,"[(315, 61), (346, 450)]"
21,2,旦謂長者義乎,"[(267, 62), (302, 328)]"
21,3,長之者義乎,"[(223, 59), (256, 274)]"
21,4,曰吾弟則愛之,"[(177, 63), (212, 313)]"
21,5,秦人之弟則不愛也,"[(135, 59), (165, 401)]"
21,6,是以我爲悅者也,"[(89, 58), (122, 359)]"
21,7,故謂之内,"[(44, 59), (79, 228)]"
23,0,長楚人之長,"[(357, 58), (391, 273)]"
23,1,亦長吾之長,"[(312, 58), (346, 271)]"
23,2,是以長爲脱者也,"[(269, 59), (302, 358)]"
23,3,故謂之外也,"[(222, 60), (256, 271)]"
23,4,曰啫秦人之多,"[(177, 62), (213, 320)]"
23,5,無以異於嗜吾多,"[(132, 59), (167, 363)]"
23,6,夫物則亦有然者也,"[(90, 60), (120, 403)]"
23,7,然則嗜災亦有外與,"[(44, 57), (80, 409)]"
25,0,孟李子問公都子曰,"[(354, 71), (393, 415)]"
25,1,何以調義呐尼,"[(309, 63), (349, 328)]"
25,2,曰行吾敬,"[(267, 72), (301, 241)]"
25,3,故謂之凶也,"[(219, 68), (259, 283)]"
25,4,鄕人長於伯兄一歲,"[(178, 71), (214, 426)]"
25,5,則誰敬,"[(130, 66), (171, 196)]"
25,6,曰敬兄,"[(87, 70), (126, 210)]"
25,7,酌則誰先,"[(44, 70), (80, 239)]"
27,0,旦先酌鄕人,"[(346, 57), (394, 286)]"
27,1,所敬在此所長在彼,"[(300, 54), (354, 457)]"
27,2,果在外非由呐也,"[(263, 55), (303, 403)]"
27,3,公都子不能答,"[(218, 55), (256, 316)]"
27,4,以告孟子,"[(179, 61), (212, 225)]"
27,5,孟子曰,"[(130, 55), (171, 184)]"
27,6,敬叔父乎,"[(84, 54), (125, 232)]"
27,7,敬弟乎,"[(44, 56), (79, 183)]"
29,0,彼將曰敬叔父,"[(349, 52), (394, 368)]"
29,1,日弟爲尸則誰敬,"[(306, 61), (349, 415)]"
29,2,彼將曰敬弟,"[(260, 54), (306, 328)]"
29,3,子曰,"[(219, 55), (260, 136)]"
29,4,惡在其敬叔父也,"[(177, 59), (213, 366)]"
29,5,彼將曰在位故也,"[(126, 54), (172, 404)]"
29,6,子亦曰在位故也,"[(82, 54), (127, 408)]"
29,7,庸敬在兄,"[(44, 57), (74, 234)]"
31,0,斯須之敬在鄕人,"[(351, 57), (393, 372)]"
31,1,李子󰘇之同,"[(313, 62), (345, 269)]"
31,2,敬叔父則敬,"[(263, 61), (304, 274)]"
31,3,敬弟則敬,"[(217, 59), (258, 234)]"
31,4,果在外非由呐也,"[(175, 59), (216, 411)]"
31,5,公都子曰,"[(130, 58), (171, 232)]"
31,6,冬日則飲湯,"[(86, 58), (123, 278)]"
31,7,夏日則水,"[(46, 61), (76, 276)]"
33,0,然則歆食永在外也,"[(351, 59), (393, 413)]"
33,1,公都子曰,"[(309, 64), (350, 234)]"
33,2,告子曰,"[(263, 61), (305, 193)]"
33,3,性無善無不善也,"[(218, 64), (257, 366)]"
33,4,或曰,"[(176, 62), (217, 145)]"
33,5,性呵以爲善,"[(132, 65), (169, 281)]"
33,6,可以爲不善,"[(88, 64), (122, 276)]"
33,7,是故文武興則民好善,"[(43, 62), (79, 457)]"
35,0,幽厲興𧴤民好暴,"[(356, 60), (389, 362)]"
35,1,或曰,"[(311, 55), (350, 140)]"
35,2,有性善有性不善,"[(262, 53), (306, 407)]"
35,3,是故以堯爲君而有象,"[(219, 56), (257, 454)]"
35,4,以贅腹爲父而有舜,"[(178, 63), (211, 406)]"
35,5,以紂爲兄之子旦以爲君,"[(132, 63), (168, 505)]"
35,6,而有微子欣,"[(87, 59), (124, 273)]"
35,7,王子北󰡰,"[(44, 61), (78, 229)]"
37,0,令曰性善,"[(351, 51), (392, 232)]"
37,1,然則彼皆非與,"[(302, 52), (351, 327)]"
37,2,孟子曰,"[(267, 60), (301, 183)]"
37,3,乃苦其情則呵以爲善矣,"[(219, 60), (258, 505)]"
37,4,乃所謂善也,"[(180, 63), (210, 271)]"
37,5,苦夫爲不善,"[(130, 58), (169, 276)]"
37,6,非才之罪也,"[(88, 59), (122, 271)]"
37,7,惻隐之心人皆育之,"[(44, 59), (77, 446)]"
39,0,差惡之心人皆有之,"[(350, 53), (396, 447)]"
39,1,恭敬之心人皆有之,"[(305, 53), (352, 446)]"
39,2,是非之心人皆有之,"[(265, 56), (304, 448)]"
39,3,𢜠隐之心仁也,"[(214, 56), (265, 367)]"
39,4,羞惡之心義也,"[(172, 55), (217, 365)]"
39,5,恭敬之心禮也,"[(128, 54), (172, 363)]"
39,6,是非之心智也,"[(81, 56), (128, 367)]"
39,7,人義禮智,"[(43, 60), (77, 230)]"
41,0,非由外鑅我也,"[(347, 54), (396, 315)]"
41,1,我固育之也,"[(309, 59), (345, 271)]"
41,2,𧖱思耳矣,"[(262, 54), (305, 234)]"
41,3,故曰,"[(220, 53), (261, 140)]"
41,4,求則得之舍則失之,"[(173, 55), (217, 448)]"
41,5,或相倍𥱰而無算者,"[(132, 59), (167, 406)]"
41,6,不能盡其才者也,"[(86, 58), (122, 361)]"
41,7,詩曰,"[(46, 58), (79, 139)]"
43,0,夭生蒸民有物有則,"[(353, 58), (392, 450)]"
43,1,民之秉尋好是懿德,"[(306, 58), (349, 453)]"
43,2,孔子曰,"[(261, 56), (306, 186)]"
43,3,爲此詩者,"[(217, 53), (261, 229)]"
43,4,其知道乎,"[(177, 56), (215, 226)]"
43,5,故有物有則,"[(130, 60), (166, 320)]"
43,6,民之秉尋也,"[(89, 62), (122, 270)]"
43,7,故好是懿德,"[(44, 60), (78, 273)]"
45,0,孟子曰,"[(354, 65), (394, 196)]"
45,1,富歳子弟多頼,"[(312, 65), (348, 371)]"
45,2,兕歳子弟多暴,"[(265, 66), (305, 374)]"
45,3,排夭之降才濁珠也,"[(223, 68), (256, 413)]"
45,4,其所以陷溺其心者然也,"[(181, 70), (211, 507)]"
45,5,令夫蜂𡎢,"[(131, 65), (171, 243)]"
45,6,播󰡔而料之,"[(87, 67), (124, 280)]"
45,7,其地同對之時又同,"[(44, 68), (80, 465)]"
47,0,浡然面生,"[(351, 54), (394, 232)]"
47,1,至於日屋之時,"[(299, 53), (354, 318)]"
47,2,階恝矣,"[(264, 56), (302, 188)]"
47,3,雖有不同,"[(218, 57), (258, 232)]"
47,4,則地有肥硯,"[(174, 59), (214, 277)]"
47,5,雨露之養,"[(131, 59), (168, 235)]"
47,6,人事之不齊也,"[(85, 58), (125, 318)]"
47,7,故凡同類者,"[(43, 58), (80, 271)]"
49,0,𦊚相似也,"[(350, 51), (394, 223)]"
49,1,何獨至於人而疑之,"[(305, 55), (347, 406)]"
49,2,聖人興我同類者,"[(269, 62), (298, 357)]"
49,3,故龍子曰,"[(220, 58), (257, 225)]"
49,4,不知足而爲屡,"[(180, 62), (210, 317)]"
49,5,我知其不爲蕢也,"[(132, 59), (167, 358)]"
49,6,属之相似,"[(84, 53), (124, 232)]"
49,7,夭下之足同也,"[(45, 58), (78, 313)]"
51,0,口之於味有同啫也,"[(349, 60), (394, 453)]"
51,1,易牙先得我口,"[(312, 59), (345, 323)]"
51,2,之所嗜者也,"[(266, 62), (300, 271)]"
51,3,如使口之於味也,"[(218, 60), (258, 360)]"
51,4,其性輿人珠,"[(180, 61), (210, 273)]"
51,5,苦犬馬之興我不同類也,"[(135, 63), (165, 492)]"
51,6,則天一何啫㗂從,"[(85, 60), (121, 363)]"
51,7,易永之於味也,"[(46, 58), (75, 318)]"
53,0,至於咮,"[(351, 55), (395, 189)]"
53,1,天下期於易牙,"[(309, 61), (345, 320)]"
53,2,是夭下之口相似也,"[(266, 58), (302, 404)]"
53,3,惟耳亦然至於聲,"[(218, 60), (259, 408)]"
53,4,天下期於師曠,"[(178, 61), (215, 322)]"
53,5,是天下之耳相似也,"[(134, 59), (167, 403)]"
53,6,惟目亦然至於子都,"[(84, 59), (125, 452)]"
53,7,夭下莫不知其妓也,"[(45, 60), (78, 403)]"
55,0,不知子都之󰣁者,"[(349, 55), (395, 359)]"
55,1,無目者也,"[(305, 54), (349, 229)]"
55,2,故曰,"[(261, 56), (306, 140)]"
55,3,口之於味也,"[(215, 60), (261, 274)]"
55,4,有同啫焉,"[(175, 57), (213, 231)]"
55,5,耳之於聲也,"[(126, 57), (172, 275)]"
55,6,有同聽焉,"[(84, 54), (124, 232)]"
55,7,目之於色也,"[(42, 61), (77, 271)]"
57,0,有同美焉,"[(348, 52), (394, 233)]"
57,1,至於心,"[(301, 53), (351, 187)]"
57,2,獨無所同然乎,"[(258, 54), (305, 322)]"
57,3,心之所同然者,"[(219, 64), (256, 314)]"
57,4,何也,"[(170, 55), (218, 149)]"
57,5,謂理也義也,"[(126, 54), (174, 320)]"
57,6,聖人先得我心,"[(78, 55), (129, 319)]"
57,7,之所同然耳,"[(44, 61), (78, 272)]"
59,0,故理義之悅我心,"[(353, 66), (392, 368)]"
59,1,猶𬗢𡎦之悅我口,"[(310, 65), (350, 373)]"
59,2,孟子曰,"[(267, 68), (302, 194)]"
59,3,半山之木賞美矣,"[(221, 66), (256, 371)]"
59,4,以其郊於夫國也,"[(177, 70), (213, 367)]"
59,5,𫫵斤伐之,"[(131, 64), (168, 236)]"
59,6,可以爲美乎,"[(88, 70), (122, 284)]"
59,7,是其日夜之所息,"[(45, 66), (78, 369)]"
61,0,雨露之所潤,"[(356, 60), (389, 274)]"
61,1,排無萌麋之生焉,"[(315, 60), (345, 358)]"
61,2,半羊又從而牧之,"[(268, 60), (301, 358)]"
61,3,是以苦彼濯濯也,"[(222, 57), (258, 360)]"
61,4,人見其濯濯也,"[(181, 62), (211, 313)]"
61,5,以爲耒賞有材焉,"[(134, 63), (167, 361)]"
61,6,此𡸈山之性也哉,"[(89, 61), (122, 362)]"
61,7,雖存乎人者,"[(44, 57), (81, 273)]"
63,0,宣無仁義之心哉,"[(356, 59), (395, 361)]"
63,1,其所以放其良心者,"[(311, 58), (346, 404)]"
63,2,亦猶斧斤之於木也,"[(268, 61), (301, 403)]"
63,3,旦旦而伐之,"[(221, 63), (257, 267)]"
63,4,呵以爲美乎,"[(179, 61), (212, 275)]"
63,5,其日夜之所息,"[(134, 59), (167, 318)]"
63,6,平旦之氣,"[(85, 55), (126, 235)]"
63,7,其好惡典人相𨑮也,"[(44, 57), (81, 405)]"
65,0,者錢希,"[(350, 51), (395, 193)]"
65,1,則其旦晝之所爲,"[(308, 59), (347, 363)]"
65,2,有拮亡之矣,"[(262, 56), (303, 276)]"
65,3,拮之﨤瓊,"[(216, 55), (259, 239)]"
65,4,則其夜氣不足以存,"[(177, 59), (212, 406)]"
65,5,夜氣不足以存,"[(133, 60), (166, 317)]"
65,6,則其逴禽獸不遠矣,"[(87, 60), (123, 407)]"
65,7,人見其翁獸也,"[(44, 59), (79, 316)]"
67,0,而以爲耒當有才焉者,"[(354, 61), (390, 452)]"
67,1,是𡸈人之情也哉,"[(313, 58), (346, 367)]"
67,2,故苟得其養,"[(266, 60), (300, 270)]"
67,3,無物不長,"[(222, 60), (255, 228)]"
67,4,尙失其養,"[(177, 57), (214, 231)]"
67,5,無物不消一,"[(130, 56), (169, 243)]"
67,6,孔子曰,"[(83, 55), (128, 186)]"
67,7,操則存舍則亡,"[(41, 56), (81, 361)]"
69,0,出人無時,"[(355, 64), (393, 237)]"
69,1,莫知其鄕,"[(306, 61), (350, 244)]"
69,2,惟心之謂寧,"[(259, 62), (307, 280)]"
69,3,孟子曰,"[(221, 65), (257, 189)]"
69,4,無或乎王之不智也,"[(175, 64), (212, 410)]"
69,5,雖有夭下易生之物也,"[(129, 65), (168, 453)]"
69,6,一日暴之十日寒之,"[(85, 67), (124, 455)]"
69,7,耒有能生者也,"[(42, 63), (78, 326)]"
71,0,妾見亦罕矣,"[(355, 59), (389, 277)]"
71,1,吳退而寒之者至矣,"[(312, 61), (345, 406)]"
71,2,妾如育萌急何哉,"[(266, 60), (300, 358)]"
71,3,今夫寶之爲數,"[(219, 57), (259, 318)]"
71,4,小數也,"[(174, 57), (216, 183)]"
71,5,不專心致志,"[(134, 62), (166, 274)]"
71,6,則不得也,"[(80, 55), (126, 229)]"
71,7,弄秋,"[(39, 53), (83, 143)]"
73,0,通國之善率者也,"[(356, 60), (389, 358)]"
73,1,使奔秋誨二人奔,"[(307, 55), (350, 360)]"
73,2,其八人專一心致志,"[(269, 61), (299, 357)]"
73,3,惟奔秋之爲聽,"[(220, 59), (257, 315)]"
73,4,一人雖聽之,"[(178, 66), (212, 268)]"
73,5,心以爲有鴻鵠將至,"[(131, 64), (167, 446)]"
73,6,思援弓徽而射之,"[(83, 57), (125, 360)]"
73,7,雖興之俱學,"[(44, 57), (81, 275)]"
75,0,弗苦之矣,"[(352, 65), (392, 247)]"
75,1,爲是其智錦苦與,"[(309, 67), (345, 376)]"
75,2,日非然也,"[(265, 73), (299, 241)]"
75,3,孟子曰,"[(221, 73), (255, 194)]"
75,4,魚我所欲也,"[(175, 69), (212, 284)]"
75,5,掌亦我所欲也,"[(130, 69), (167, 371)]"
75,6,之者不可得乘,"[(85, 71), (121, 330)]"
75,7,舍魚而取焦掌者也,"[(45, 71), (75, 415)]"
77,0,生亦我所欲也,"[(350, 57), (392, 317)]"
77,1,義亦我所欲也,"[(312, 56), (345, 314)]"
77,2,之者不可得乘,"[(267, 65), (300, 320)]"
77,3,舍生而取義者也,"[(219, 57), (259, 360)]"
77,4,生亦我所欲,"[(176, 60), (213, 275)]"
77,5,所欲有甚於生者,"[(131, 59), (167, 359)]"
77,6,故不爲苟得也,"[(82, 57), (125, 318)]"
77,7,死亦我所惡,"[(46, 61), (76, 271)]"
79,0,所惡育葚於死者,"[(356, 61), (389, 358)]"
79,1,故患育所不辟也,"[(314, 62), (344, 359)]"
79,2,如使人之所欲莫甚於生,"[(266, 61), (300, 496)]"
79,3,則几可以得生者,"[(222, 61), (255, 357)]"
79,4,何不用也,"[(176, 59), (213, 234)]"
79,5,使人之所惡莫甚於死者,"[(134, 61), (167, 494)]"
79,6,則几司以辟患者,"[(87, 59), (123, 358)]"
79,7,何不爲也,"[(44, 60), (80, 228)]"
81,0,曲是則生而有不用也,"[(357, 61), (387, 446)]"
81,1,由是則可以辞患,"[(314, 62), (344, 361)]"
81,2,而有不爲也,"[(269, 63), (299, 270)]"
81,3,是故所欲有甚於生者,"[(222, 58), (255, 446)]"
81,4,所惡有甚於死者,"[(177, 59), (213, 360)]"
81,5,排獨賢者有是心也,"[(134, 61), (164, 399)]"
81,6,人皆有之,"[(87, 59), (124, 227)]"
81,7,䝨者能勿䘮耳,"[(43, 57), (78, 320)]"
83,0,一簞食一旦業,"[(353, 56), (395, 361)]"
83,1,得之則生𧖱得則死,"[(305, 55), (349, 456)]"
83,2,𡀯爾而唭之,"[(267, 56), (304, 270)]"
