Page,Column,Transcription,Translation
5,0,Đệ Thập Nhất Chương Cáo Tử Thượng,CHƯƠNG XI : CÁO TỬ THƯỢNG
5,1,1 Cáo Tử Viết,1.Học trò Cáo Tử nói rằng :
5,2,Tính Do Kỷ Liễu Dã,Bản tính tự nhiên của người như cây kỷ liễu ;
5,3,Nghĩa Do Bôi Quyền Dã,Nghĩa là có thể uốn cong để làm chén bát.
5,4,Dĩ Nhân Tính Vi Nhân Nghĩa,"Nếu lấy bản tính tự nhiên của người ra làm điều nhân nghĩa,"
5,5,Do Dĩ Kỷ Liễu Vi Bôi Quyền,Thì cũng giống như lấy cây kỷ liễu uốn cong để làm chén bát vậy.
5,6,Mạnh Tử Viết,Thầy Mạnh Tử nói :
5,7,Tử Năng Thuận Kỷ Liễu Chi Tính,Trò có thể thuận theo tính vốn có của cây kỷ liễu
7,0,Nhi Dĩ Vi Bôi Quyền Hồ,uốn cong để làm chén bát được không ?
7,1,Tương Tường Tặc Kỷ Liễu,Hay là phải xẻ gỗ cây kỷ liễu ra
7,2,Nhi Hậu Dĩ Vi Bôi Quyền Dã,sau đó uốn cong rồi làm thành chén bát được ?
7,3,Như Tương Tường Tặc Kỷ Liễu,Như phải xẻ gỗ cây kỷ liễu
7,4,Nhi Dĩ Vi Bôi Quyền,"Rồi sau uốn cong làm thành chén bát,"
7,5,Tắc Diệc Tương Tường Tặc Nhân,Vậy thì cũng như bản tính tự nhiên của người phải xẻ ra (dạy dỗ)
7,6,Dĩ Vi Nhân Nghĩa Dư,Thì người ta mới biết làm điều nhân nghĩa đó ư ?
7,7,Suất Thiên Hạ Chi Nhân Nhi Họa Nhân Nghĩa Giả,"Bậc lớn trong thiên-hạ (làm theo trò) mà hại việc nhân nghĩa,"
9,0,Tất Tử Chi Ngôn Phù,ắt là do lời nói (sai lầm này) của trò đấy !
9,1,2 Cáo Tử Viết,2.Học trò Cáo Tử nói rằng :
9,2,Tính Do Khoan Thủy Dã,"Bản tính tự nhiên của người giống như nước chảy,"
9,3,Quyết Chư Đông Phương Tắc Đông Lưu,"Ta khơi thông về hướng đông thì nó chảy theo hướng đông,"
9,4,Quyết Chư Tây Phương Tắc Tây Lưu,Ta khởi thông về hướng tây thì nó chảy theo hướng tây.
9,5,Nhân Tính Chi Vô Phân Ư Thiện Bất Thiện Dã,"Bản tính tự nhiên của người không phân thiện hay bất thiện (ác),"
9,6,Do Thủy Chi Vô Phân Ư Đông Tây Dã,Cũng như nước chảy không phân hướng đông hay hướng tây.
9,7,Mạnh Tử Viết,Thầy Mạnh Tử nói :
11,0,Thủy Tín Vô Phân Ư Đông Tây,"Nước chảy đúng là không phân hướng đông hay hướng tây,"
11,1,Vô Phân Ư Thượng Hạ Hồ,"Nhưng lẽ nào không biết phân trên cao, dưới thấp sao ?"
11,2,Nhân Tính Chi Thiện Dã,"Bản tính tự nhiên của người vốn thiện,"
11,3,Do Thủy Chi Tựu Hạ Dã,Giống như tính (tự nhiên của) nước chảy từ trên cao xuống thấp.
11,4,Nhân Vô Hữu Bất Thiện,"Con người không có ai bất thiện cả,"
11,5,Thủy Vô Hữu Bất Hạ,Giống như tính nước lẽ nào chẳng chảy xuống thấp.
11,6,Kim Phù Thủy Bác Nhi Dược Chi,"Nay ta dùng tay đập mạnh xuống nước thì nó sẽ tung lên cao,"
11,7,Khả Sử Quá Tảng,"Có thể vượt qua trán,"
13,0,Kích Nhi Hành Chi,"Ta xây đê ngăn nó chảy,"
13,1,Khả Sử Tại Sơn,"Thì nó có thể ngưng động ở khe núi,"
13,2,Thị Khởi Thủy Chi Tính Tai,Nhưng sao phải là tính (tự nhiên) của nước ?
13,3,Kỳ Thế Tắc Nhiên Dã,Đó là vì tình thế nên nó phải như vậy.
13,4,Nhân Chi Khả Sử Vi Bất Thiện,"Con người có thể làm điều bất thiện,"
13,5,Kỳ Tính Diệc Do Thị Dã,"Thì cũng giống thế, do tình thế hoàn cảnh bị ép buộc phải làm."
13,6,3 Cáo Tử Viết,3.Học trò Cáo Tử nói :
13,7,Sinh Chi Vị Tính,Sự sống gọi là bản tính (tự nhiên).
15,0,Mạnh Tử Viết,Thầy Mạnh Tử nói :
15,1,Sinh Chi Vị Tính Dã,Trò nói “sự sống gọi là bản tính (tự nhiên).”
15,2,Do Bạch Chi Vị Bạch Dư,Thì cũng như cho rằng cái gì màu trắng cũng là trắng sao ?
15,3,Viết Nhiên,Cáo Tử đáp : thưa đúng vậy.
15,4,Bạch Vũ Chi Bạch Dã,"Thầy Mạnh Tử nói : trò nói vậy là màu trắng của lông trắng,"
15,5,Do Bạch Tuyết Chi Bạch,"Giống như màu trắng của tuyết trắng,"
15,6,Bạch Tuyết Chi Bạch,"Màu trắng của tuyết trắng,"
15,7,Do Bạch Ngọc Chi Bạch Dư,Giống như màu trắng của ngọc trắng sao ?
17,0,Viết Nhiên,Cáo Tử đáp : thưa đúng vậy.
17,1,Nhiên Tắc Khuyển Chi Tính Do Ngưu Chi Tính,Thầy Mạnh Tử nói :
17,2,Ngưu Chi Tính Do Nhân Chi Tính Dư,"nếu vậy thì bản tính con chó giống bản tính con trâu,"
17,3,4 Cáo Tử Viết,Bản tính con trâu giống với bản tính con người luôn sao ?
17,4,Tự Sắc Tính Dã,4.Học trò Cáo Tử nói rằng :
17,5,Nhân Nội Dã Phi Ngoại Dã,"Thích ăn, thích đẹp, là bản bản tính (tự nhiên)."
17,6,Nghĩa Ngoại Dã Phi Nội Dã,"Điều nhân, nằm ở bên trong."
17,7,Mạnh Tử Viết,"Điều nghĩa, nằm ở bên ngoài."
19,0,Khả Dĩ Vị Nhân Nội Nghĩa Ngoại Dã,"Vì sao trò nói điều nhân ở bên trong, điều nghĩa ở bên ngoài ?"
19,1,Viết Bỉ Trưởng Nhi Ngã Trưởng Chi,* Cáo Tử đáp : thưa như khi thấy người lớn tuổi thì con tôn trọng
19,2,Phi Hữu Trưởng Ư Ngã Dã,"(nghĩa),"
19,3,Do Bỉ Bạch Nhi Ngã Bạch Chi,Chẳng phải cái lớn tuổi ấy nằm ở (bên trong) con.
19,4,Tòng Kỳ Bạch Ư Ngoại Dã,"Giống như vật kia bên ngoài trắng thì con gọi là màu trắng,"
19,5,Cố Vị Chi Ngoại Dã,"Theo đó thì màu trắng nằm ở bên ngoài,"
19,6,Viết Dị Ư Bạch Mã Chi Bạch Dã,Thế nên con nói điều nghĩa nằm ở bên ngoài.
19,7,Vô Dĩ Dị Ư Bạch Nhân Chi Bạch Dã,"Thầy Mạnh Tử nói : vậy có khác gì màu trắng của con ngựa lông trắng ,"
21,0,Bất Thức Trưởng Mã Chi Trưởng Dã,"chẳng phân biệt sự lớn tuổi của con ngựa già,"
21,1,Vô Dĩ Dị Ư Trưởng Nhân Chi Trưởng Dư,là không khác gì mấy so với sự lớn tuổi của người già đó ư ?
21,2,Thả Vị Trưởng Giả Nghĩa Hồ,Vả lại trò tôn trọng
21,3,Trưởng Chi Giả Nghĩa Hồ,người lớn tuổi
21,4,Viết Ngô Đệ Tắc Ái Chi,là điều nghĩa ?
21,5,Tần Nhân Chi Đệ Tắc Bất Ái Dã,Hay tôn trọng
21,6,Thị Dĩ Ngã Vi Duyệt Giả Dã,cái tuổi lớn
21,7,Cố Vị Chi Nội,là điều nghĩa ?
23,0,Trưởng Sở Nhân Chi Trưởng,"Con tôn trọng người nước Sở lớn tuổi,"
23,1,Diệc Trưởng Ngô Chi Trưởng,"Cũng như tôn trọng người lớn tuổi ở nước con,"
23,2,Thị Dĩ Trưởng Vi Duyệt Giả Dã,Con cảm thấy vui lòng khi tôn trọng người lớn tuổi.
23,3,Cố Vị Chi Ngoại Dã,Thế nên con cho rằng điều nghĩa nằm ở bên ngoài.
23,4,Viết Thị Tần Nhân Chi Chá,*Thầy Mạnh Tử nói : ta
23,5,Vô Dĩ Di Ư Thị Ngô Chá,ưa thích
23,6,Phù Vật Tắc Diệc Hữu Nhiên Giả Dã,món chả nướng của người
23,7,Nhiên Tắc Thị Chá Diệc Hữu Ngoại Dư,nước Tần
25,0,5 Mạnh Quý Tử Vấn Công Đô Tử Viết,5.Ông Mạnh Quý Tử hỏi người học trò Công Đô Tử rằng :
25,1,Khả Dĩ Vị Nghĩa Nội Dã,Vì sao nói đều nghĩa ở bên trong ta ?
25,2,Viết Hành Ngô Kính,"Công Đô Tử đáp : đó là hành vi kính trọng của ta (phát ra),"
25,3,Cố Vị Chi Nội Dã,Nên nói (điều nghĩa) ở bên trong ta.
25,4,Hương Nhân Trưởng Ư Bá Huynh Nhất Tuế,"Mạnh Quý Tử nói : làng tôi có người lớn hơn anh họ tôi một tuổi,"
25,5,Tắc Thùy Kính,Vậy thì nên kính trọng ai ?
25,6,Viết Kính Huynh,Công Đô Tử đáp : nên kính trọng người anh họ.
25,7,Chước Tắc Thùy Tiên,Mạnh Quý Tử hỏi : khi mời rượu thì ai mời trước ?
27,0,Viết Tiên Chước Hương Nhân,Công Đô Tử đáp : nên mời người trong làng trước.
27,1,Sở Kính Tại Thử Sở Trưởng Tại Bỉ,"Mạnh Quý Tử nói : lúc kính trọng người này, lúc tôn trọng người kia,"
27,2,Quả Tại Ngoại Phi Do Nội Dã,"Quả nhiên đều nghĩa ở bên ngoài, không phải do ở bên trong rồi."
27,3,Công Đô Tử Bất Năng Đáp,"Công Đô Tử không thể trả lời (được câu hỏi của ông Mạnh Quý Tử),"
27,4,Dĩ Cáo Mạnh Tử,Bèn đến hỏi thầy Mạnh Tử.
27,5,Mạnh Tử Viết,Thầy Mạnh Tử nói : (trò hãy hỏi lại ông ta)
27,6,Kính Thúc Phụ Hồ,Nên kính trọng chú mình ?
27,7,Kính Đệ Hồ,hay kính trọng em mình ?
29,0,Bỉ Tương Viết Kính Thúc Phụ,Ông ta sẽ đáp : kính trọng chú mình.
29,1,Viết Đệ Vi Thi Tắc Thùy Kính,"Rồi trò hỏi tiếp : Khi em mình đóng vai thần linh, thì nên kinh trọng ai ?"
29,2,Bỉ Tương Viết Kính Đệ,Ông ta sẽ đáp : kính trọng em mình.
29,3,Tử Viết,Trò hãy hỏi :
29,4,Ô Tại Kỳ Kính Thúc Phụ Dã,Ô vậy lòng kính trọng chú mình thì sao ?
29,5,Bỉ Tương Viết Tại Vị Cố Dã,Ông ta sẽ đáp : vì địa vị nên phải thay đổi.
29,6,Tử Diệc Viết Tại Vị Cố Dã,Trò cũng nói : vậy là vì địa vị nên phải thay đổi.
29,7,Dung Kính Tại Huynh,Rồi trả lời câu hỏi của ông ấy sự kính trọng anh họ (vì địa vị nên phải
31,0,Tư Tu Chi Kính Tại Hương Nhân,Trong chốc lát thì phải kính trọng người trong làng.
31,1,Quý Tử Văn Chi Viết,Ông Mạnh Quý Tử nghe câu trả lời của Công Đô Tử vẫn nói :
31,2,Kính Thúc Phụ Tắc Kính,"Lúc nên kính trọng chú thì kính chú,"
31,3,Kính Đệ Tắc Kính,"Lúc nên kính trọng em thì kính em,"
31,4,Quá Tại Ngoại Phi Do Nội Dã,"Quả nhiên đều nghĩa ở bên ngoài, không phải do ở bên trong."
31,5,Công Đô Tử Viết,Công Đổ Tử đáp :
31,6,Đông Nhật Tắc Ẩm Thang,"Ngày mùa đông thì ưa uống nước nóng,"
31,7,Hạ Nhật Tắc Ẩm Thủy,"Ngày mùa hạ thì ưa uống nước lạnh,"
33,0,Nhiên Tắc Ẩm Thực Diệc Tại Ngoại Dã,Nếu theo ông nói thì việc ưa ăn uống chắc cũng ở bên ngoài ta vậy.
33,1,6 Công Đô Tử Viết,6.Học trò Công Đô Tử hỏi rằng :
33,2,Cáo Tử Viết,Thưa anh Cáo Tử nói rằng :
33,3,Tính Vô Thiện Vô Bất Thiện Dã,"“Bản tính tự nhiên của người không thiện, không bất thiện (ác).”"
33,4,Hoặc Viết,Nhưng có người nói rằng :
33,5,Tính Khả Dĩ Vi Thiện,"Bản tính tự nhiên của người có thể là thiện,"
33,6,Khả Dĩ Vi Bất Thiện,"có thể là bất thiện,"
33,7,Thị Cố Văn Võ Hưng Tắc Dân Hảo Thiện,"Vậy nên khi vua Văn Vương, Võ Vương dấy lên thì dân thích điều thiện,"
35,0,U Lệ Hưng Tắc Dân Hảo Bạo,"Khi Vua U Vương, Lệ Vương dấy lên thì dân thích điều tàn bạo (ác)."
35,1,Hoặc Viết,người ta nói rằng :
35,2,Hữu Tính Thiện Hữu Tính Bất Thiện,"Bản tính tự nhiên của người có thiện, có bất thiện,"
35,3,Thị Cố Dĩ Nghiêu Vi Quân Nhi Hữu Tượng,"Vậy nên thời vua Nghiêu làm vua thì có tên Tượng,"
35,4,Dĩ Cổ Tẩu Vi Phụ Nhi Hữu Thuấn,"Với ông Cổ Tẩu là cha (ác) thì có ông Thuấn (thiện),"
35,5,Dĩ Trụ Vi Huynh Chi Tử Thả Dĩ Vi Quân,"Rồi vua Trụ lấy thân phận cháu mà được lên làm vua (ác),"
35,6,Nhi Hữu Vi Tử Khởi,"Thì có ông Vi Tử Khởi,"
35,7,Vương Tử Tỷ Can,Ông Vương Tử Tỷ Can (thiện).
37,0,Kim Viết Tính Thiện,"Nay thầy nói bản tính tự nhiên của người là thiện,"
37,1,Nhiên Tắc Bỉ Giai Phi Dư,Thế thì những lời kia đều không đúng hết ư ?
37,2,Mạnh Tử Viết,Thầy Mạnh Tử đáp :
37,3,Nãi Nhược Kỳ Tính Tắc Khả Dĩ Vi Thiện Hỹ,"Nương theo nhân tình mà nói thì bản tính tự nhiên có thể là thiện,"
37,4,Nãi Sở Vị Thiện Dã,"Nên ta nói bản tính tự nhiên của người là thiện,"
37,5,Nhược Phù Vi Bất Thiện,"Còn nói bản tính tự nhiên của người bất thiện (ác),"
37,6,Phi Tài Chi Tội Dã,Là bị hoàn cảnh làm thay đổi không thể đổ hết tội như vậy được.
37,7,Trắc Ẩn Chi Tâm Nhân Giai Hữu Chi,"Lòng thương xót, người ta đều có ;"
39,0,Tu Ố Chi Tâm Nhân Giai Hữu Chi,"Lòng xấu hổ, chán ghét, người ta đều có ;"
39,1,Cung Kính Chi Tâm Nhân Giai Hữu Chi,"Lòng cung kính, người ta đều có ;"
39,2,Thị Phi Chi Tâm Nhân Giai Hữu Chi,"Lòng phân biệt phải trái, người ta đều có."
39,3,Trắc Ẩn Chi Tâm Nhân Dã,"Lòng thương xót, đó là Nhân ;"
39,4,Tu Ố Chi Tâm Nghĩa Dã,"Lòng xấu hổ, chán ghét, đó là Nghĩa ;"
39,5,Cung Kính Chi Tâm Lễ Dã,"Lòng cung kính, đó là điều Lễ ;"
39,6,Thị Phi Chi Tâm Trí Dã,"Lòng phân biệt phải trái, đó là Trí."
39,7,Nhân Nghĩa Lễ Trí,"Nhân, Nghĩa, Lễ, Trí,"
41,0,Phi Do Ngoại Thước Ngã Dã,"Chẳng phải do bên ngoài nung đúc cho ta,"
41,1,Ngã Cố Hữu Chi Dã,"Mà nó vốn sẵn có trong ta,"
41,2,Phất Tư Nhĩ Hỹ,Chẳng qua là ta chư suy tư tìm ra đó thôi.
41,3,Cố Viết,Nên nói rằng :
41,4,Cầu Tắc Đắc Chi Xả Tắc Thất Chi,"“Tìm cầu nó thì được, buông bỏ nó thì mất.”"
41,5,Hoặc Tương Bội Tỷ Nhi Vô Toán Giả,"Chịu làm thì sẽ được gấp hai, gấp năm lần mà không tính hết,"
41,6,Bất Năng Tận Kỳ Tài Giả Dã,Khi đem ra dùng hoài chẳng hết vậy.
41,7,Thi Viết,Kinh Thi viết rằng :
43,0,Thiên Sinh Chưng Dân Hữu Vật Hữu Tắc,"Trời sinh ra dân chúng, hễ có sự vật thì có phép tắc."
43,1,Dân Chi Bỉnh Di Hảo Thị Ý Đức,"Dân biết (phép tắc) giữ bản tính thường, thì họ ưa thích những nết tốt."
43,2,Khổng Tử Viết,Đức Khổng Tử nói rằng :
43,3,Vi Thử Thi Giả,"Người làm ra bài thơ này,"
43,4,Kỳ Tri Đạo Hồ,Thật hiểu biết đạo lý thay !
43,5,Cố Hữu Vật Tất Hữu Tắc,"Cho nên có sự vật thì có phép tắc,"
43,6,Dân Chi Bỉnh Di Dã,"Dân biết (phép tắc) giữ bản tính thường,"
43,7,Cố Hảo Thị Ý Đức,Nên họ ưa thích những nết tốt vậy.
45,0,7 Mạnh Tử Viết,7.Thầy Mạnh Tử nói rằng :
45,1,Phú Tuế Tử Đệ Đa Lại,"Vào năm làm được mùa, con em người dân rất hiền lành ;"
45,2,Hung Tuế Tử Đệ Đa Bạo,"Nhưng gặp năm mất mùa, con em người dân rất hung bạo."
45,3,Phi Thiên Chi Giáng Tài Nhĩ Thù Dã,"Chẳng phải trời giáng xuống tính cách họ khác nhau như thế,"
45,4,Kỳ Sở Dĩ Hãm Nịch Kỳ Tâm Giả Nhiên Dã,Mà ở chổ tâm hồn họ bị hoàn cảnh bức ép phải làm vậy.
45,5,Kim Phù Mâu Mạch,"Nay ta lấy hạt lúa mạch,"
45,6,Bá Chủng Nhi Ưu Chi,"Đem chúng gieo giống rồi phủ đất lên,"
45,7,Kỳ Địa Đồng Thụ Chi Thời Hựu Đồng,"trồng cùng một ruộng, thời gian chăm sóc như nhau,"
47,0,Bột Nhiên Nhi Sinh,"Rồi dĩ nhiên chúng phát triển,"
47,1,Chí Ư Nhật Chí Chi Thời,"Đến thời gian vào ngày đông chí,"
47,2,Giai Thục Hỹ,Thì cả ruộng đều chín hết cả.
47,3,Tuy Hữu Bất Đồng,"Tuy vậy cũng có những chổ (hạt lúa) không đồng đều nhau,"
47,4,Tắc Địa Hữu Phì Nghiêu,"Đó là do nơi trồng lúa có chỗ đất tốt, có chổ đất xấu,"
47,5,Vũ Lộ Chi Dưỡng,"Cộng thêm mưa xống dưỡng lúa,"
47,6,Nhân Sự Chi Bất Tề Dã,Người chăm sóc lúa cũng không như nhau.
47,7,Cố Phàm Đồng Loại Giả,"Cho nên phàm vật gì cùng một loại,"
49,0,Cử Tương Tự Dã,"Thì bản tính tương tự nhau,"
49,1,Hà Độc Chí Ư Nhân Nhi Nghi Chi,Vậy thì sao riêng với người lại nghi ngờ bản tính không như nhau ?
49,2,Thánh Nhân Dữ Ngã Đồng Loại Giả,Bản tính người thường và bậc thánh nhân đồng một loại vậy.
49,3,Cố Long Tử Viết,Vì thế ông Long Tử nói rằng :
49,4,Bất Tri Túc Nhi Vi Lũ,"Thợ bện dép sao biết hết cỡ chân người để làm ra dép,"
49,5,Ngã Tri Kỳ Bất Vi Quĩ Dã,Nhưng ta biết chắc là người thợ đó không bện ra cái giỏ vậy.
49,6,Lũ Chi Tương Tự,"Dép làm ra hình dáng tương tự nhau,"
49,7,Thiên Hạ Chi Túc Đồng Dã,Vì hình dáng chân của người thiên-hạ giống như nhau.
51,0,Khẩu Chi Ư Vị Hữu Đồng Thị Dã,"người ai cũng có miệng cảm nhận mùi vị, có sự ham thích ăn uống như nhau."
51,1,Dịch Nha Tiên Đắc Ngã Khẩu,Đầu bếp nổi tiếng Dịch Nha lại biết trước cách làm cho cái miệng ta
51,2,Chi Sở Thị Giả Dã,ham thích ăn những món ông ấy làm.
51,3,Như Sử Khẩu Chi Ư Vị Dã,"Như cái miệng cảm nhận mùi vị,"
51,4,Kỳ Tính Dữ Nhân Thù,"của Dịch Nha khác tính (cấu tạo) với mọi người,"
51,5,Nhược Khuyển Mã Chi Dữ Ngã Bất Đồng Loại Dã,"thì cũng giống như chó ngựa không cùng đồng loại với ta,"
51,6,Tắc Thiên Hạ Hà Thị Giai Tòng,"Thì người thiên-hạ sao thích ăn những món ông ấy làm, cùng cho rằng"
51,7,Dịch Nha Chi Ư Vị Dã,đầu bếp Dịch Nhà là người giỏi cảm nhận mùi vị ?
53,0,Chí Ư Vị,"Đến như việc cảm nhận mùi vị đồ ăn,"
53,1,Thiên Hạ Kỳ Ư Dịch Nha,"Thì trong thiên hạ ai giỏi bằng ông Dịch Nha,"
53,2,Thị Thiên Hạ Chi Khẩu Tương Tựa Dã,Điều này chứng tỏ cái miệng của người thiên-hạ với Dịch Nha giống nhau.
53,3,Duy Nhĩ Diệc Nhiên Chí Ư Thanh,"Riêng về lỗ tai cũng thế, đến như sự cảm nhận âm thanh,"
53,4,Thiên Hạ Kỳ Ư Sư Khoáng,"Thì người trong thiên ai giỏi bằng Sư Khoáng,"
53,5,Thị Thiên Hạ Chi Nhĩ Tương Tựa Dã,Đó là (cấu tạo) lỗ tai của người thiên-hạ với Sư Khoáng giống nhau vậy.
53,6,Duy Mục Diệc Nhiên Chí Ư Tử Đô,"Riêng về con mắt cũng thế, đến như ông Tử Đô nước Trịnh,"
53,7,Thiên Hạ Mạc Bất Như Kỳ Giảo Dã,Thì người trong thiên-hạ ai không biết vẻ đẹp của ông ;
55,0,Bất Tri Đô Tử Chi Giảo Giả,"Kẻ mà không biết vẻ đẹp của ông ta,"
55,1,Vô Mục Giả Dã,Là người không có mắt vậy.
55,2,Cố Viết,Cho nên nói :
55,3,Khẩu Chi Ư Vị Dã,"* Cái miệng đối với sự cảm nhận mùi vị,"
55,4,Hữu Đồng Thị Yên,có sự ưa thích giống nhau ;
55,5,Nhĩ Chi Ư Thanh Dã,"* Lỗ tai đối với sự cảm nhận âm thanh,"
55,6,Hữu Đồng Thính Yên,có cách nghe giống nhau ;
55,7,Mục Chi Ư Sắc Dã,"* Con Mắt đối với nhìn hình sắc bên ngoài,"
57,0,Hữu Đồng Mỹ Yên,có sự cảm nhận cái đẹp giống nhau.
57,1,Chí Ư Tâm,"Vậy thì đến như tâm người,"
57,2,Độc Vô Sở Đồng Nhiên Hồ,sao riêng lại nghi ngờ nó không giống nhau ?
57,3,Tâm Chi Sở Đồng Nhiên Giả,"Chổ giống nhau của tâm người đó,"
57,4,Hà Dã,Là như thế nào ?
57,5,Vị Lý Dã Nghĩa Dã,"Ở chổ hợp lý, ở chổ hợp nghĩa vậy."
57,6,Thánh Nhân Tiên Đắc Ngã Tâm,"Bậc thánh nhân đã tìm hiểu được trước, cho rằng tâm của chúng ta"
57,7,Chi Sở Đồng Nhiên Nhĩ,đều giống như nhau.
59,0,Cố Lý Nghĩa Chi Duyệt Ngã Tâm,"Cho nên khi làm việc gì hợp nghĩa lý thì làm tâm ta vui vẻ,"
59,1,Do Sô Hoạn Chi Duyệt Ngã Khẩu,Như nấu nướng thịt động vật tươi thì ta ăn ngon miệng vậy.
59,2,8 Mạnh Tử Viết,8.Thầy Mạnh Tử nói rằng :
59,3,Ngưu Sơn Chi Mộc Thường Mỹ Hỹ,Cây cối núi Ngưu (phía đông nước Tề) từng xanh tốt.
59,4,Dĩ Kỳ Giao Ư Đại Quốc Dã,"Nhưng vì chổ nó nằm gần biên giới các nước lớn,"
59,5,Phủ Cân Phạt Chi,"Cho nên thường xuyên bị người chặt phá,"
59,6,Khả Dĩ Vi Mỹ Hồ,Làm vậy hoài thì làm sao giữ nổi vẻ xanh tốt được ?
59,7,Thị Kỳ Nhật Dạ Chi Sở Tức,"Cây cối trên núi ấy ngày đêm hít thở không khí,"
61,0,Vũ Lộ Chi Sở Nhuận,"Được mưa sương tưới nước thấm nhuần,"
61,1,Phi Vô Manh Nghiệt Chi Sinh Yên,"Nên không thể không tiếp tục nảy mầm sinh trưởng,"
61,2,Ngưu Dương Hựu Tòng Nhi Mục Chi,"nhưng người dẫn trâu dê liên tiếp kéo đến ăn phá (hết mầm non),"
61,3,Thị Dĩ Nhược Bỉ Trạc Trạc Dã,Cho nên khung cảnh núi ấy bị trơ trụi đến như thế.
61,4,Nhân Kiến Kỳ Trạc Trạc Dã,"Người ta thấy cảnh núi trơ trụi đó,"
61,5,Dĩ Vi Vị Thường Hữu Tài Yên,"Thì liền cho rằng núi ấy chưa từng có cây cối,"
61,6,Thử Khởi Sơn Chi Tính Dã Tai,Nhưng lời nói đó há có thật với bản chất vốn có của núi ấy không ?
61,7,Tuy Tồn Hồ Nhân Giả,"Nếu như đem cái lý đó để nói về bản tính vốn có ở người,"
63,0,Khởi Vô Nhân Nghĩa Chi Tâm Tai,Há người không có tấm lòng nhân nghĩa sao ?
63,1,Kỳ Sở Dĩ Phòng Kỳ Lương Tâm Giả,"Nhưng vì họ chạy theo dục vọng nên đánh mất lương tâm đó đi,"
